id,date,work_performed,primary_source
178,1820-04-04,135,TH OC-90
179,1820-04-04,239,TH OC-90
180,1820-04-04,383,TH OC-90
181,1820-04-05,53,TH OC-90
182,1820-04-05,143,TH OC-90
183,1820-04-06,79,TH OC-90
184,1820-04-06,325,TH OC-90
185,1820-04-07,300,TH OC-90
186,1820-04-07,333,TH OC-90
187,1820-04-08,95,TH OC-90
188,1820-04-08,258,TH OC-90
189,1820-04-09,290,TH OC-90
190,1820-04-09,380,TH OC-90
191,1820-04-10,224,TH OC-90
192,1820-04-10,315,TH OC-90
193,1820-04-11,104,TH OC-90
194,1820-04-11,26,TH OC-90
195,1820-04-11,255,TH OC-90
196,1820-04-12,139,TH OC-90
197,1820-04-12,117,TH OC-90
198,1820-04-13,336,TH OC-90
199,1820-04-13,224,TH OC-90
200,1820-04-14,160,TH OC-90
201,1820-04-14,325,TH OC-90
202,1820-04-15,140,TH OC-90
203,1820-04-15,226,TH OC-90
204,1820-04-15,375,TH OC-90
205,1820-04-16,300,TH OC-90
206,1820-04-16,248,TH OC-90
207,1820-04-17,335,TH OC-90
208,1820-04-17,374,TH OC-90
209,1820-04-17,378,TH OC-90
210,1820-04-18,219,TH OC-90
211,1820-04-18,139,TH OC-90
212,1820-04-19,135,TH OC-91
213,1820-04-19,239,TH OC-91
214,1820-04-19,374,TH OC-91
215,1820-04-20,150,TH OC-91
216,1820-04-20,336,TH OC-91
217,1820-04-21,226,TH OC-91
218,1820-04-21,12,TH OC-91
219,1820-04-21,378,TH OC-91
220,1820-04-22,224,TH OC-91
221,1820-04-22,380,TH OC-91
222,1820-04-23,315,TH OC-91
223,1820-04-23,143,TH OC-91
224,1820-04-24,79,TH OC-91
225,1820-04-24,388,TH OC-91
226,1820-04-25,139,TH OC-91
227,1820-04-25,290,TH OC-91
228,1820-04-26,26,TH OC-91
229,1820-04-26,177,TH OC-91
230,1820-04-26,151,TH OC-91
231,1820-04-27,219,TH OC-91
232,1820-04-27,377,TH OC-91
233,1820-04-28,378,TH OC-91
234,1820-04-28,333,TH OC-91
235,1820-04-29,212,TH OC-91
236,1820-04-29,120,TH OC-91
237,1820-04-30,224,TH OC-91
238,1820-04-30,388,TH OC-91
239,1820-05-01,212,TH OC-91
240,1820-05-01,79,TH OC-91
241,1820-05-02,219,TH OC-91
242,1820-05-02,150,TH OC-91
243,1820-05-03,212,TH OC-91
244,1820-05-03,239,TH OC-91
245,1820-05-04,289,TH OC-91
246,1820-05-04,224,TH OC-91
247,1820-05-05,26,TH OC-91
248,1820-05-05,212,TH OC-91
249,1820-05-06,53,TH OC-91
250,1820-05-06,143,TH OC-91
251,1820-05-07,377,TH OC-91
252,1820-05-07,241,TH OC-91
253,1820-05-08,212,TH OC-91
254,1820-05-08,120,TH OC-91
255,1820-05-09,331,Th OC-91
256,1820-05-09,388,Th OC-91
257,1820-05-10,212,Th OC-91
258,1820-05-10,378,Th OC-91
259,1820-05-11,290,Th OC-91
260,1820-05-11,336,Th OC-91
261,1820-05-12,212,Th OC-91
262,1820-05-12,140,Th OC-91
263,1820-05-13,139,Th OC-91
264,1820-05-13,289,Th OC-91
265,1820-05-14,53,Th OC-91
266,1820-05-14,388,Th OC-91
267,1820-05-15,212,Th OC-91
268,1820-05-15,315,Th OC-91
269,1820-05-16,135,Th OC-91
270,1820-05-16,239,Th OC-91
271,1820-05-16,331,Th OC-91
272,1820-05-17,212,Th OC-91
273,1820-05-17,374,Th OC-91
274,1820-05-18,224,Th OC-91
275,1820-05-18,380,Th OC-91
276,1820-05-19,212,Th OC-91
277,1820-05-19,12,Th OC-91
278,1820-05-20,306,Th OC-91
279,1820-05-20,378,Th OC-91
280,1820-05-20,315,Th OC-91
281,1820-05-22,219,Th OC-91
282,1820-05-22,349,Th OC-91
283,1820-05-23,212,Th OC-91
284,1820-05-23,385,Th OC-91
285,1820-05-24,150,TH OC-91
286,1820-05-24,380,TH OC-91
287,1820-05-25,26,Th OC-91
288,1820-05-25,212,Th OC-91
289,1820-05-26,377,Th OC-91
290,1820-05-26,143,Th OC-91
291,1820-05-27,212,Th OC-91
292,1820-05-27,239,Th OC-91
293,1820-05-28,262,Th OC-91
294,1820-05-28,315,Th OC-91
295,1820-05-29,212,Th OC-91
296,1820-05-29,151,Th OC-91
297,1820-05-30,139,Th OC-91
298,1820-05-30,380,Th OC-91
299,1820-05-31,212,Th OC-91
300,1820-05-31,136,Th OC-91
301,1820-06-01,224,Th OC-91
302,1820-06-01,315,Th OC-91
303,1820-06-02,163,Th OC-91
304,1820-06-02,212,Th OC-91
305,1820-06-03,226,Th OC-91
306,1820-06-03,375,Th OC-91
307,1820-06-03,378,Th OC-91
308,1820-06-04,143,Th OC-91
309,1820-06-04,241,Th OC-91
310,1820-06-05,212,Th OC-91
311,1820-06-05,385,Th OC-91
312,1820-06-06,322,Th OC-91
313,1820-06-06,240,Th OC-91
314,1820-06-07,212,Th OC-91
315,1820-06-07,289,Th OC-91
316,1820-06-08,182,Th OC-91
317,1820-06-08,226,Th OC-91
318,1820-06-08,254,Th OC-91
319,1820-06-09,212,Th OC-91
320,1820-06-09,315,Th OC-91
321,1820-06-10,73,Th OC-91
322,1820-06-10,79,Th OC-91
323,1820-06-10,254,Th OC-91
324,1820-06-11,104,Th OC-91
325,1820-06-11,282,Th OC-91
326,1820-06-12,335,Th OC-91
327,1820-06-12,349,Th OC-91
328,1820-06-12,254,Th OC-91
329,1820-06-13,72,Th OC-91
330,1820-06-13,212,Th OC-91
331,1820-06-14,163,Th OC-91
332,1820-06-14,36,Th OC-91
333,1820-06-14,254,Th OC-91
334,1820-06-15,212,Th OC-91
335,1820-06-15,375,Th OC-91
336,1820-06-16,120,Th OC-91
337,1820-06-16,239,Th OC-91
338,1820-06-16,254,Th OC-91
339,1820-06-17,95,Th OC-91
