"month","age of oldest work (year)","number of premieres","population skewness","population standard deviation (year)"
1821-09-01 00:00:00.000,43.47671232876712,1,0.8755656011628886,12.372294879513321
1821-10-01 00:00:00.000,52.0986301369863,1,0.9367878647400173,13.081032778592691
1822-02-01 00:00:00.000,50.32876712328767,1,1.2530371207023852,12.02300078307492
1822-04-01 00:00:00.000,39.07397260273972,0,0.6755569810852611,12.43906321519463
1822-06-01 00:00:00.000,39.25479452054795,0,0.43301974546782274,12.566821338805338
1822-11-01 00:00:00.000,53.71506849315068,1,0.6383618625997097,16.555000551137763
1822-12-01 00:00:00.000,53.30684931506849,1,1.034899862288651,12.006971182676718
1823-06-01 00:00:00.000,53.78904109589041,1,0.6739897154078389,14.628361348848076
1825-05-01 00:00:00.000,56.224657534246575,2,1.5077770292547206,11.917703245736558
1826-05-01 00:00:00.000,45.37534246575343,1,1.0570119784949363,12.71349364471787
1827-08-01 00:00:00.000,58.4986301369863,0,0.8470953028216385,14.16698042657164
1829-06-01 00:00:00.000,31.4027397260274,0,1.1258442845336363,10.246544153105699
1829-09-01 00:00:00.000,57.88219178082192,1,1.179636429301922,12.765283578973412
1829-12-01 00:00:00.000,29.279452054794522,1,1.2786858558668497,9.910468792208562
1831-03-01 00:00:00.000,38.728767123287675,1,1.0448549113833039,11.336405759052171
1831-11-01 00:00:00.000,39.416438356164385,0,1.3891660731667306,10.340324863199704
1833-04-01 00:00:00.000,40.75890410958904,1,1.8183756910996376,10.229816400953853
1833-05-01 00:00:00.000,40.86027397260274,1,2.0129263127833816,10.14524365294554
1833-08-01 00:00:00.000,26.273972602739725,0,1.3039399631577566,8.479483436372588
1833-12-01 00:00:00.000,41.49315068493151,1,1.940261771129225,8.860724439001057
1834-05-01 00:00:00.000,31.39178082191781,1,3.1361034434797848,9.245918580430324
1834-08-01 00:00:00.000,27.326027397260273,1,2.214641611976001,6.776806070071134
1835-02-01 00:00:00.000,42.67123287671233,1,1.5622830495845244,8.26307460478847
1835-04-01 00:00:00.000,34.63013698630137,0,2.2098614286844778,8.309450352852645
1835-05-01 00:00:00.000,65.71506849315068,0,2.25071798128611,14.38903068001181
1836-10-01 00:00:00.000,47.8054794520548,1,0.9228641373017404,16.014994316588332
1837-03-01 00:00:00.000,67.56164383561644,0,1.826189689459971,21.260049440826972
1837-09-01 00:00:00.000,33.51780821917808,2,2.4216098513106354,8.358546297578064
1838-07-01 00:00:00.000,40.515068493150686,0,1.5336042138668788,11.10504490562093
1838-10-01 00:00:00.000,40.76164383561644,2,2.2254894981274025,10.829289047019412
1839-02-01 00:00:00.000,40.0027397260274,0,4.641549205868524,6.38288498727217
1840-05-01 00:00:00.000,7.46027397260274,1,0.5628023315588586,3.4038942986411915
1840-08-01 00:00:00.000,41.56986301369863,0,2.1550889283414905,9.82569038177435
1841-06-01 00:00:00.000,15.556164383561644,3,1.1552781377617447,5.938635381256403
1842-02-01 00:00:00.000,57.37808219178082,1,0.8829935680623459,20.63204918086216
1842-05-01 00:00:00.000,57.64383561643836,0,0.5701588237406606,21.003059564566566
1843-02-01 00:00:00.000,58.38630136986301,1,1.594330602632993,18.126067760134017
1843-03-01 00:00:00.000,58.47671232876712,0,1.6441789332322014,18.74913978886213
1844-12-01 00:00:00.000,75.85205479452055,0,2.166251247837594,16.707605799402803
1845-03-01 00:00:00.000,76.11232876712329,0,1.0584257072413228,19.475933504358714
1845-04-01 00:00:00.000,76.18082191780822,1,1.3482493658574353,19.91779609719403
1845-05-01 00:00:00.000,76.25205479452055,1,1.4811012698060264,19.961377732863898
1845-09-01 00:00:00.000,76.59178082191781,0,1.5659056021658027,21.913941594778635
1846-09-01 00:00:00.000,74.93150684931507,1,1.3963493450356623,23.81703284805514
1847-08-01 00:00:00.000,78.52328767123288,1,3.0010517960891487,15.341458338459375
1847-09-01 00:00:00.000,78.59726027397261,0,2.6662725723229594,14.655308452713632
1849-04-01 00:00:00.000,48.55068493150685,0,1.3494218617654,17.2636058450599
1849-06-01 00:00:00.000,80.36986301369863,0,1.1822532635422514,20.315028248783662
1849-12-01 00:00:00.000,80.86027397260274,0,2.05878112554848,20.28843641705053
1821-03-01 00:00:00.000,49.394520547945206,1,0.41109561219026913,14.179151307287317
1822-05-01 00:00:00.000,53.23561643835617,1,0.9858689313364851,12.237798663746275
1823-03-01 00:00:00.000,51.42191780821918,1,1.4434526685761448,12.142014422645058
1824-02-01 00:00:00.000,54.44931506849315,0,0.660102330010939,16.846912306723336
1824-07-01 00:00:00.000,55.43561643835616,1,0.9335488520492853,16.22095271517515
1824-08-01 00:00:00.000,55.47397260273973,2,1.3628743204783758,15.220180790810005
1824-09-01 00:00:00.000,55.5972602739726,0,0.8805434614792556,18.179798605481157
1825-03-01 00:00:00.000,56.02465753424657,2,1.2837871291996357,13.604331046542876
1825-09-01 00:00:00.000,56.56438356164384,0,0.6541692060990871,15.472977626524552
1826-01-01 00:00:00.000,45.00547945205479,0,0.9834342220493386,14.460262661962515
